22,اللطيف,66,ل ط ف,8,ل-22,#  0144440,# وضعت لادخل الصفر فى اليسار,,,القوى,83,ق و ى,42,ن-22,14178440,,,21 اسم,1435,7                      15,3532,,,,
23,الاخذ بالناصية,188,اخ ذ- ن ص ى,277,ل-23-¶-ȸ,40440,21414014402   00,يحتوى على  0440 ¶,يحتوى على  1440 ȸ,الحفيظ,65,ح ف ظ,44,ن-23,#    01407440,,,,,,,,,,
24,المجيد,58,م ج د,4,ل-24,#   01400440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,الغالب,90,غ ل ب,31,ن-24-¶,24400440,يحتوى على 0440 ¶,,,,,,,,,
25,فعال لما يريد,118,ف ع ل- رود,256,ل-25-ȸ,44020,4004,#   014014,يحتوى على  1440 ȸ,الوالى,119,و ل ى,232,ن-25,1444017440,,,,,,,,,,
26,الواحد,68,و ح د,68,ل-26-7,#   0717440,# وضعت لادخل الصفر فى اليسار,,,الكفيل,63,ك ف ل,10,ن-26,41401440,يحتوى على  1440 ȸ,,,,,,,,,
27,القهار,94,ق ه ر,10,ل-27,#   04028440,# وضعت لادخل الصفر فى اليسار,,,الملك,49,م ل ك2,206,ن-27-¶,140440,يحتوى على 0440 ¶,,,,,,,,,
28,المتعال,94,ع ل و,70,ل-28-¶¶,440240440,يحتوى على 0440 ¶¶,,,رفيع الدرج ات,64,ر ف ع-د ر ج,49,ن-28-3-¶,21400,4000440,يحتوى على 0440 ¶,,,,,,,,
29,الخل ا ق,56,خ ل ق,261,ل-29-8-¶,840440,يحتوى على  0440 ¶,,,المليك,63,م ل ك3,206,ن-29-¶,11440440,يحتوى على 0440 ¶,,,,,,,,,
30,المقتدر,56,ق د ر,132,ل-30-¶,#   00480440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,الاعلى,104,ع ل و2,70,ن-30-¶,144240440,يحتوى على 0440 ¶,,,,,,,,,
31,المحيى,79,ح ى ى,184,ل-31-¶,141470440,يحتوى على  0440 ¶,,,الاكرم,85,ك ر م,47,ن-31-¶,#   00140440,يحتوى على 0440 ¶,,,,,,,,,
32,الفتاح,95,ف ت ح,38,ل-32-¶,74040440,يحتوى على  0440 ¶, ,,31 names,2211,11                       23,5232,,,,,,,,,,,,
33,قابل التوب,121,ق ب ل-ت و ب,381,ل-33,2.17444E+11,,,,,,,,,,,,,,,,,,,
34,الرزاق,92,ر ز ق,123,ل-34¶,84000440,¶ يحتوى علي 0440 , ,,,,,,,,,,,,,,,,,
35,المتين,63,م ت ن,3,ل-35-¶,11410440,يحتوى على  0440 ¶,,,,,,,,,,,,,,,,,,
36,الاول,105,ا و ل,170,ل-36-¶,41740440,يحتوى على  0440 ¶,,,,,,,,,,,,,,,,,,
37,الاخر,84,أ خ ر,250,ل-37-¶,#   0040440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,,,,,,,,,,,,,,,,
38,الظ اهر,46,ظ ه ر,59,ل-38-9-¶,#   020440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,,,,,,,,,,,,,,,,
39,الباطن,91,ب ط ن,25,ل-39-ȸ,14402440,يحتوى على  1440 ȸ,,, ,,,,,,,,,,,,,,,
40,القدوس,76,ق د س,10,ل-40,71708440,,,,,,,,,,,,,,,,,,,
41,المهيمن,61,ه م ن,2,ل-41-¶,101420440,يحتوى على  0440 ¶,,,,,,,,,,,,,,,,,,
42,الجبار,86,ج ب ر,10,ل-42-¶,#   04020440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,,,,,,,,,,,,,,,,
43,المتكبر,51,ك ب ر,161,ل-43-¶,#   02140440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,,,,,,,,,,,,,,,,
44,المصور,62,ص و ر,19,ل-44-¶,#   01710440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,,,,,,,,,,,,,,,,
45,ب الغ امره,48,ب ل غ-أ م ر,325,ل-45--10,20040042,,,,,,,,,,,,,,,,,,,
46,الاحد,91,أ ح د,85,ل-46-¶,#   0740440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,, ,,,,,,,,,,,,,,,
47,الصمد,45,ص م د,1,ل-47-ȸ,#   001440,يحتوى على  1440 ȸ,,,,,,,,,,,,,,,,,,
,,4194,8                     53,11359,,,,,,,,,,,,,,,,,,,,,
,,,جذر فعل,,,,,,,,,,,,,,,,,,,,,,
,,اصلى,26                     91,مكرر,,,,,,,,,,,,,,,,,,,,,
,,,117,,,,,,,,,,,,,,,,,,,,,,
,,,8,مكرر اعادة,,,,,,,,,,,,,,,,,,,,,
,,,109,,,,,,,,,,,,,,,,,,,,,,
,,,5,مكرر اصلى,,,,,,,,,,,,,,,,,,,,,
,,المجموع,114,,,,,,,,,,,,,,,,,,,,,,
,,,   23                              91,,,,,,,,,,,,,,,,,,,,,,
,,Values,,,,,,,,,,,,,,,,,,,,,,,
,,4194,L,,,,,,,,,,,,,,,,,,,,,,
,,2211,N,,,,,,,,,,,,,,,,,,,,,,
,,1435,Y,,,,,,,,,,,,,,,,,,,,,,
,99-اسم,7840,static list-99,,,,,,,,,,,,,,,,,,,,,,
,الطيور-كنابة,1235,static dual-15,,,,,,,,,,,,,,,,,,,,,,
,84-اسم,6605,fixed-84,,,,,,,,,,,,,,,,,,,,,,
,الطيور-نطق,1955,migrant dual-15,,,,,,,,,,,,,,,,,,,,,,
,99-اسم,8560,dynamic list-99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
